Date : 2025-09-16 23:40:34
Directory : c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy
Total : 221 files,  51057 codes, 5401 comments, 10369 blanks, all 66827 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\convex.json                                                                 | JSON               |          3 |          0 |          1 |          4 |
| c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\convex\README.md                                                            | Markdown           |         73 |          0 |         18 |         91 |
| c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\convex\__tests__\users.test.ts                                              | TypeScript         |        440 |         79 |         85 |        604 |
| c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\convex\_generated\api.d.ts                                                  | TypeScript         |         37 |         17 |          3 |         57 |
| c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\convex\_generated\api.js                                                    | JavaScript         |          3 |         17 |          3 |         23 |
| c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\convex\_generated\dataModel.d.ts                                            | TypeScript         |         16 |         39 |          6 |         61 |
| c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\convex\_generated\server.d.ts                                               | TypeScript         |         24 |        105 |         14 |        143 |
| c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\convex\_generated\server.js                                                 | JavaScript         |         16 |         65 |          9 |         90 |
| c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\convex\analytics.ts                                                         | TypeScript         |        493 |         71 |         67 |        631 |
| c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\convex\auth.config.ts                                                       | TypeScript         |          9 |          4 |          2 |         15 |
| c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\convex\courses.ts                                                           | TypeScript         |        654 |         81 |         63 |        798 |
| c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\convex\coursesMutations.ts                                                  | TypeScript         |        440 |         84 |         75 |        599 |
| c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\convex\files.ts                                                             | TypeScript         |        326 |         84 |         54 |        464 |
| c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\convex\index.ts                                                             | TypeScript         |          1 |          0 |          1 |          2 |
| c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\convex\lessons.ts                                                           | TypeScript         |        337 |         67 |         51 |        455 |
| c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\convex\messages.ts                                                          | TypeScript         |         17 |          1 |          2 |         20 |
| c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\convex\schema.ts                                                            | TypeScript         |        666 |        129 |        110 |        905 |
| c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\convex\schema_fixed.ts                                                      | TypeScript         |        629 |        124 |        109 |        862 |
| c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\convex\skills-clean.ts                                                      | TypeScript         |          0 |          0 |          1 |          1 |
| c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\convex\skills.ts                                                            | TypeScript         |        966 |        175 |         88 |      1,229 |
| c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\convex\skillsTest.ts                                                        | TypeScript         |          7 |          0 |          2 |          9 |
| c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\convex\skills_backup.ts                                                     | TypeScript         |          0 |          0 |          1 |          1 |
| c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\convex\skills_simple.ts                                                     | TypeScript         |          0 |          0 |          1 |          1 |
| c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\convex\tsconfig.json                                                        | JSON with Comments |         18 |          6 |          2 |         26 |
| c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\convex\users.ts                                                             | TypeScript         |        450 |        111 |         78 |        639 |
| c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\debug-api.ts                                                                | TypeScript         |          8 |          2 |          4 |         14 |
| c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\deployment\README.md                                                        | Markdown           |        244 |          0 |         91 |        335 |
| c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\deployment\docker-compose\docker-compose.dev.yml                            | YAML               |        126 |         14 |         35 |        175 |
| c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\deployment\docker-compose\docker-compose.prod.yml                           | YAML               |        293 |         19 |         64 |        376 |
