"filename", "language", "Markdown", "TypeScript", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\convex\_generated\api.d.ts", "TypeScript", 0, 2, 0, 0, 0, 2
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\convex\analytics.ts", "TypeScript", 0, 90, 0, 0, 1, 91
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\convex\courses.ts", "TypeScript", 0, 44, 0, 1, 1, 46
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\convex\coursesMutations.ts", "TypeScript", 0, 29, 0, 8, 1, 38
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\convex\files.ts", "TypeScript", 0, -15, 0, -2, -1, -18
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\convex\lessons.ts", "TypeScript", 0, 40, 0, 2, 3, 45
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\convex\schema.ts", "TypeScript", 0, 24, 0, 1, -2, 23
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\convex\schema_fixed.ts", "TypeScript", 0, 629, 0, 124, 109, 862
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\convex\users.ts", "TypeScript", 0, 18, 0, 11, 6, 35
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\docs\KIBO_VIDEO_PLAYER_GUIDE.md", "Markdown", 0, 0, 0, 0, 1, 1
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\docs\PERFORMANCE_OPTIMIZATION_GUIDE.md", "Markdown", 2, 0, 0, 0, 5, 7
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\app\admin\courses\create\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 1, 1
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\app\admin\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 1, 1
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\app\app\page.tsx", "TypeScript JSX", 0, 0, 2, 0, 0, 2
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\components\admin\AdminCourseForm.tsx", "TypeScript JSX", 0, 0, 118, 0, 0, 118
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\components\courses\CourseCard.tsx", "TypeScript JSX", 0, 0, 13, 0, 0, 13
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\components\kibo\CourseVideoPlayer.tsx", "TypeScript JSX", 0, 0, 0, 0, 1, 1
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\components\kibo\EnhancedCourseVideoPlayer.tsx", "TypeScript JSX", 0, 0, -21, -21, -24, -66
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\components\kibo\EnhancedCourseVideoPlayer_backup.tsx", "TypeScript JSX", 0, 0, 558, 64, 81, 703
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\components\kibo\KiboVideoPlayer.tsx", "TypeScript JSX", 0, 0, 46, 0, 1, 47
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\components\kibo\KiboVideoPlayerExamples.tsx", "TypeScript JSX", 0, 0, 25, 0, 1, 26
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\components\shared\FileUpload.tsx", "TypeScript JSX", 0, 0, 31, 0, 0, 31
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\components\ui\accordion.tsx", "TypeScript JSX", 0, 0, 0, 0, 1, 1
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\components\ui\alert-dialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 1, 1
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\components\ui\alert.tsx", "TypeScript JSX", 0, 0, 0, 0, 1, 1
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\components\ui\card.tsx", "TypeScript JSX", 0, 0, 7, 0, 1, 8
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\components\ui\progress.tsx", "TypeScript JSX", 0, 0, 0, 0, 1, 1
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\components\ui\select.tsx", "TypeScript JSX", 0, 0, 0, 0, 1, 1
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\components\ui\switch.tsx", "TypeScript JSX", 0, 0, 0, 0, 1, 1
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\components\ui\textarea.tsx", "TypeScript JSX", 0, 0, 0, 0, 1, 1
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\lib\performance\caching.ts", "TypeScript", 0, 13, 0, 0, 1, 14
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\lib\performance\image-optimization.ts", "TypeScript", 0, 13, 0, 0, 1, 14
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\lib\performance\index.ts", "TypeScript", 0, 2, 0, 0, 1, 3
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\lib\performance\monitoring.ts", "TypeScript", 0, 21, 0, 0, 1, 22
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\lib\performance\video-optimization.ts", "TypeScript", 0, 41, 0, 0, 1, 42
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\lib\video-player-utils.ts", "TypeScript", 0, 30, 0, 0, 1, 31
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\types\courses.ts", "TypeScript", 0, 27, 0, 7, 3, 37
"Total", "-", 2, 1008, 779, 195, 203, 2187
