"filename", "language", "Markdown", "TypeScript JSX", "TypeScript", "comment", "blank", "total"
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\README.md", "Markdown", 17, 0, 0, 0, 11, 28
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\docs\01_introduction\01_SYSTEM_OVERVIEW.md", "Markdown", 273, 0, 0, 0, 90, 363
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\docs\02_architecture\01_ARCHITECTURE.md", "Markdown", 18, 0, 0, 0, 14, 32
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\docs\03_api_reference\01_API_DOCUMENTATION.md", "Markdown", 15, 0, 0, 0, 10, 25
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\docs\04_guides\01_DEPLOYMENT_GUIDE.md", "Markdown", 36, 0, 0, 0, 25, 61
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\docs\05_contributing\01_CONTRIBUTING.md", "Markdown", 19, 0, 0, 0, 16, 35
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\docs\05_contributing\02_TESTING.md", "Markdown", 147, 0, 0, 0, 49, 196
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\docs\06_security\01_SECURITY.md", "Markdown", 23, 0, 0, 0, 16, 39
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\docs\07_additional\01_CHANGELOG.md", "Markdown", 7, 0, 0, 0, 6, 13
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\docs\07_additional\02_STYLE_GUIDE.md", "Markdown", 23, 0, 0, 0, 16, 39
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\docs\07_additional\APPLICATION_STATUS_LIFECYCLE.md", "Markdown", 46, 0, 0, 0, 14, 60
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\docs\07_additional\BALANCE_MULTI_CURRENCY_IMPLEMENTATION.md", "Markdown", 227, 0, 0, 0, 77, 304
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\docs\07_additional\COURSE_CATALOG_README.md", "Markdown", 329, 0, 0, 0, 116, 445
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\docs\07_additional\COURSE_CATALOG_TECHNICAL_DOCS.md", "Markdown", 392, 0, 0, 0, 123, 515
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\docs\07_additional\DEBUG_PROGRESS_TRACKING.md", "Markdown", 179, 0, 0, 0, 71, 250
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\docs\07_additional\DOCKER_README.md", "Markdown", 101, 0, 0, 0, 38, 139
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\docs\07_additional\ENTERPRISE_LOGGING_DOCS.md", "Markdown", 308, 0, 0, 0, 86, 394
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\docs\07_additional\ENTERPRISE_USER_INITIALIZATION_COMPLETE.md", "Markdown", 203, 0, 0, 0, 82, 285
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\docs\07_additional\FINANCE_OPERATIONS.md", "Markdown", 324, 0, 0, 0, 98, 422
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\docs\07_additional\FIX_COMPLETE.md", "Markdown", 99, 0, 0, 0, 25, 124
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\docs\07_additional\FIX_SUMMARY_LOGGING_SAMPLING.md", "Markdown", 114, 0, 0, 0, 36, 150
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\docs\07_additional\GIGS_SCHEMA_REVIEW.md", "Markdown", 259, 0, 0, 0, 75, 334
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\docs\07_additional\IMPLEMENTATION_COMPLETE.md", "Markdown", 128, 0, 0, 0, 56, 184
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\docs\07_additional\KIBO_VIDEO_PLAYER_GUIDE.md", "Markdown", 453, 0, 0, 0, 86, 539
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\docs\07_additional\LMS_QA_CHECKLIST.md", "Markdown", 200, 0, 0, 0, 71, 271
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\docs\07_additional\LMS_README.md", "Markdown", 322, 0, 0, 0, 95, 417
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\docs\07_additional\LOGGING_IMPLEMENTATION_COMPLETE.md", "Markdown", 140, 0, 0, 0, 42, 182
