"filename", "language", "TypeScript", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\convex\finance.ts", "TypeScript", 95, 0, 0, -10, 85
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\convex\internal\index.ts", "TypeScript", 4, 0, 0, 0, 4
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\convex\internal\walletInit.ts", "TypeScript", -1, 0, 0, -1, -2
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\convex\internal\walletMutations.ts", "TypeScript", 6, 0, 0, 0, 6
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\convex\reconcile.ts", "TypeScript", 96, 0, 0, -3, 93
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\convex\schema.ts", "TypeScript", 2, 0, 0, 0, 2
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\convex\types\internal.d.ts", "TypeScript", 3, 0, 0, 0, 3
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\convex\users.ts", "TypeScript", 12, 0, 0, 0, 12
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\convex\wallet.ts", "TypeScript", -4, 0, 0, 1, -3
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\convex\walletApi.ts", "TypeScript", 10, 0, 0, 0, 10
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\__tests__\finance.test.ts", "TypeScript", -485, 0, -56, -106, -647
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\components\ui\BalanceBadge.tsx", "TypeScript JSX", 0, 38, 0, -1, 37
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\components\ui\use-toast.ts", "TypeScript", 12, 0, 0, 0, 12
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\hooks\useBalances.tsx", "TypeScript JSX", 0, 48, 1, 0, 49
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\lib\format-currency.ts", "TypeScript", 3, 0, 0, 0, 3
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\types\finance.ts", "TypeScript", -5, 0, 0, 0, -5
"Total", "-", -252, 86, -55, -120, -341
