"filename", "language", "TypeScript JSX", "TypeScript", "comment", "blank", "total"
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\convex\schema.ts", "TypeScript", 0, 1, -1, -1, -1
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\app\gigs\page.tsx", "TypeScript JSX", 39, 0, 0, 5, 44
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\components\layouts\CandidateLayout.tsx", "TypeScript JSX", 71, 0, 0, 8, 79
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\components\layouts\EmployerLayout.tsx", "TypeScript JSX", 87, 0, 0, 10, 97
"Total", "-", 197, 1, -1, 22, 219
