"filename", "language", "JavaScript", "Markdown", "JSON", "TypeScript", "TypeScript JSX", "YAML", "comment", "blank", "total"
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\components\ProfileSidebar\ProfileSidebar.ui.tsx", "TypeScript JSX", 0, 0, 0, 0, 96, 0, 1, 6, 103
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\components\ProfileSidebar\index.ts", "TypeScript", 0, 0, 0, 2, 0, 0, 0, 1, 3
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\components\ProfileSidebar\types.ts", "TypeScript", 0, 0, 0, 4, 0, 0, 0, 2, 6
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\components\ProfileSkills\ProfileSkills.container.tsx", "TypeScript JSX", 0, 0, 0, 0, 5, 0, 0, 2, 7
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\components\ProfileSkills\ProfileSkills.ui.tsx", "TypeScript JSX", 0, 0, 0, 0, 48, 0, 0, 5, 53
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\components\ProfileSkills\index.ts", "TypeScript", 0, 0, 0, 2, 0, 0, 0, 1, 3
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\components\ProfileSkills\types.ts", "TypeScript", 0, 0, 0, 4, 0, 0, 0, 2, 6
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\components\ui\tabs.tsx", "TypeScript JSX", 0, 0, 0, 0, 59, 0, 0, 8, 67
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\hooks\useSidebarItems.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 1, 1, 14
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\lib\auth\userResolver.server.ts", "TypeScript", 0, 0, 0, 3, 0, 0, -1, 0, 2
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\services\profile\ProfileRepository.ts", "TypeScript", 0, 0, 0, 169, 0, 0, 10, 5, 184
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\services\profile\ProfileService.ts", "TypeScript", 0, 0, 0, 14, 0, 0, 0, 5, 19
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\services\profile\index.ts", "TypeScript", 0, 0, 0, 7, 0, 0, 0, 3, 10
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\services\profile\types.ts", "TypeScript", 0, 0, 0, 96, 0, 0, 0, 11, 107
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\types\auth.ts", "TypeScript", 0, 0, 0, 3, 0, 0, 3, 0, 6
"Total", "-", 8, 208, 1, 485, 811, 30, 14, 204, 1761
