"filename", "language", "Markdown", "TypeScript JSX", "TypeScript", "JSON with Comments", "JSON", "YAML", "comment", "blank", "total"
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\components\lesson\Comments.tsx", "TypeScript JSX", 0, 5, 0, 0, 0, 0, 0, 1, 6
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\components\lesson\LessonPlayer.stories.tsx", "TypeScript JSX", 0, 8, 0, 0, 0, 0, 6, 0, 14
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\components\lesson\LessonSidebar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 1, 0, 1
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\components\lesson\LessonViewer.tsx", "TypeScript JSX", 0, 1, 0, 0, 0, 0, 1, 0, 2
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\components\lesson\__tests__\LessonPlayer.test.tsx", "TypeScript JSX", 0, -119, 0, 0, 0, 0, -11, -27, -157
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\components\ui\BalanceBadge.tsx", "TypeScript JSX", 0, 352, 0, 0, 0, 0, 55, 28, 435
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\components\ui\ClientBalanceBadge.tsx", "TypeScript JSX", 0, 24, 0, 0, 0, 0, 5, 9, 38
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\components\ui\ProgressRadial.tsx", "TypeScript JSX", 0, -2, 0, 0, 0, 0, 0, 0, -2
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\components\ui\use-toast.ts", "TypeScript", 0, 0, 33, 0, 0, 0, 5, 11, 49
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\hooks\use-mobile.ts", "TypeScript", 0, 0, 2, 0, 0, 0, 2, 5, 9
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\hooks\useBalances.tsx", "TypeScript JSX", 0, 288, 0, 0, 0, 0, 91, 64, 443
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\hooks\useOptimizedProgress.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 0, 0, 5
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\lib\format-currency.ts", "TypeScript", 0, 0, 19, 0, 0, 0, 5, 5, 29
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\types\finance.ts", "TypeScript", 0, 0, 287, 0, 0, 0, 33, 41, 361
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\tsconfig.json", "JSON with Comments", 0, 0, 0, 1, 0, 0, 0, 0, 1
"Total", "-", 996, 143, 2546, 1, 7, 336, 483, 801, 5313
