"filename", "language", "TypeScript", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\app\app\gigs\[gigId]\apply\page.tsx", "TypeScript JSX", 0, 66, 1, 15, 82
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\app\app\gigs\[gigId]\page.tsx", "TypeScript JSX", 0, 40, 0, 10, 50
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\app\app\gigs\page.tsx", "TypeScript JSX", 0, 43, 0, 7, 50
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\app\gigs\page.tsx", "TypeScript JSX", 0, -39, 0, -5, -44
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\components\DynamicIcon.tsx", "TypeScript JSX", 0, 9, 0, 1, 10
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\components\feedback\InlineError.tsx", "TypeScript JSX", 0, 20, 0, 4, 24
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\components\gigs\apply\GigApplyForm.tsx", "TypeScript JSX", 0, 128, 0, 15, 143
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\components\gigs\apply\GigApplyHeader.tsx", "TypeScript JSX", 0, 43, 0, 6, 49
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\components\gigs\apply\GigApplySummary.tsx", "TypeScript JSX", 0, 34, 0, 3, 37
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\components\gigs\detail\GigDetailContainer.tsx", "TypeScript JSX", 0, 48, 0, 0, 48
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\components\gigs\detail\GigDetailPageContent.tsx", "TypeScript JSX", 0, 95, 0, 14, 109
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\components\gigs\form\GigFormContainer.tsx", "TypeScript JSX", 0, 39, 0, -2, 37
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\components\gigs\form\GigFormStepBudget.tsx", "TypeScript JSX", 0, 32, 0, 0, 32
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\components\gigs\form\GigFormStepGeneral.tsx", "TypeScript JSX", 0, 44, 0, 0, 44
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\components\gigs\form\GigFormStepRequirements.tsx", "TypeScript JSX", 0, 24, 0, 0, 24
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\components\gigs\form\GigFormStepReview.tsx", "TypeScript JSX", 0, 40, 0, 0, 40
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\components\gigs\list\GigCard.tsx", "TypeScript JSX", 0, 28, 0, 0, 28
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\components\gigs\list\GigFilters.tsx", "TypeScript JSX", 0, 50, 0, -1, 49
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\components\gigs\list\GigListContainer.tsx", "TypeScript JSX", 0, 80, 0, 4, 84
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\components\gigs\list\GigListPagination.tsx", "TypeScript JSX", 0, 22, 0, 0, 22
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\components\layouts\CandidateLayout.tsx", "TypeScript JSX", 0, 17, 0, 0, 17
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\components\layouts\EmployerLayout.tsx", "TypeScript JSX", 0, 27, 0, 0, 27
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\components\shared\EmptyState.tsx", "TypeScript JSX", 0, 2, 0, 0, 2
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\components\shared\LoadingSkeleton.tsx", "TypeScript JSX", 0, 7, 0, 0, 7
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\hooks\useDebouncedValue.ts", "TypeScript", 14, 0, 0, 6, 20
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\hooks\useGigData.ts", "TypeScript", 6, 0, 0, 1, 7
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\hooks\useGigDetailPageController.ts", "TypeScript", 96, 0, 0, 18, 114
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\hooks\useSafeGigId.ts", "TypeScript", 13, 0, 0, 5, 18
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\hooks\useSidebarItems.ts", "TypeScript", 41, 0, -3, 3, 41
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\lib\auth\requireUser.ts", "TypeScript", 12, 0, 0, 5, 17
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\lib\mock\gigs.ts", "TypeScript", 11, 0, 0, 0, 11
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\lib\server\gigs.ts", "TypeScript", 58, 0, 1, 16, 75
"Total", "-", 251, 899, -1, 125, 1274
