"filename", "language", "Markdown", "TypeScript JSX", "TypeScript", "comment", "blank", "total"
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\components\lesson\LessonPlayer.tsx", "TypeScript JSX", 0, 412, 0, 29, 59, 500
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\components\lesson\LessonSidebar.tsx", "TypeScript JSX", 0, 324, 0, 27, 28, 379
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\components\lesson\LessonViewer.tsx", "TypeScript JSX", 0, 198, 0, 28, 34, 260
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\components\lesson\__tests__\LessonPlayer.test.tsx", "TypeScript JSX", 0, 119, 0, 11, 27, 157
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\components\lesson\index.ts", "TypeScript", 0, 0, 4, 5, 1, 10
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\components\shared\FileUpload.tsx", "TypeScript JSX", 0, 20, 0, 4, 1, 25
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\components\ui\AvatarStackWrapper.tsx", "TypeScript JSX", 0, 154, 0, 32, 21, 207
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\components\ui\ProgressRadial.tsx", "TypeScript JSX", 0, 249, 0, 21, 19, 289
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\components\ui\kibo-ui\avatar-stack\index.tsx", "TypeScript JSX", 0, 48, 0, 0, 4, 52
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\components\ui\slider.tsx", "TypeScript JSX", 0, 37, 0, 6, 7, 50
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\components\ui\textarea.tsx", "TypeScript JSX", 0, -1, 0, 0, 0, -1
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\hooks\useProgress.ts", "TypeScript", 0, 0, 265, 42, 50, 357
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\lib\performance\caching.ts", "TypeScript", 0, 0, 3, 6, 0, 9
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\lib\performance\index.ts", "TypeScript", 0, 0, 4, 1, 1, 6
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\lib\performance\monitoring.ts", "TypeScript", 0, 0, 34, 22, 6, 62
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\lib\performance\video-optimization.ts", "TypeScript", 0, 0, 11, 8, 2, 21
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\lib\video-player-utils.ts", "TypeScript", 0, 0, 1, 0, 1, 2
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\schemas\course.ts", "TypeScript", 0, 0, 263, 26, 20, 309
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\types\course.ts", "TypeScript", 0, 0, 200, 3, 13, 216
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\utils\fetchers-client.ts", "TypeScript", 0, 0, 83, 28, 9, 120
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\utils\fetchers-server.ts", "TypeScript", 0, 0, 311, 78, 41, 430
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\utils\fetchers.ts", "TypeScript", 0, 0, 401, 113, 55, 569
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\utils\format.ts", "TypeScript", 0, 0, 110, 94, 23, 227
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\utils\time.ts", "TypeScript", 0, 0, 112, 69, 24, 205
"Total", "-", 519, 3566, 1802, 886, 788, 7561
